Business Name,Sector,Service,Phone Number,Email,Attempted Date,Outreach Status,Outreach Method,Current Website,Location,Address,Notes
Poopathy Mess,Restaurant,Website Redesign,1-416-923-4243,poopathymess@gmail.com,,,,https://poopathymess.ca/,Toronto,"585 Parliament St, Toronto, ON M4X 1P9",
Shree Beauty Salon,Beauty,New Website,1-519-792-7101,,,,,,Brampton,"178 Castle Oaks Crossing, Brampton, ON L6P 3V4",
Best Tire Service,Automotive,New Website,1-416-722-4849,,,,,,Brampton,"146 Castle Oaks Crossing, Brampton, ON L6P 3V3",
Nailed it by Preeti,Beauty,New Website,,,,,,,Brampton,"123 Castle Oaks Crossing, Brampton, ON L6P 0W4",
Henna World,Beauty,New Website,1-437-216-3021,,,,,,Brampton,"134 Castle Oaks Crossing, Brampton, ON L6P 3V3",
Ratha's Bridal & Makeup,Beauty,Website Redesign,1-647-404-1723,rathabridal28@gmail.com,,,,https://www.rathasbridalmakeup.com/,Brampton,"28 Aspermont Cres, Brampton, ON L6P 0W4",Site has some quirks
Coif Hair Care,Beauty,New Website,n/a,,,,,,Brampton,"94 Education Rd, Brampton, ON L6P 3W3",May have closed permanently
Image Computer,Electronics,New Website,1-416-839-8909,,,,,,Brampton,"15 Natronia Trail, Brampton, ON L6P 3N1",
DECOR Your DAY - Wedding Car Decor,Event Service,New Website,1-437-214-8801,,,,,,Brampton,"39 Snapdragon Square, Brampton, ON L6P 3K3",
D2D Auto Detailing,Automotive,New Website,1-647-295-9669,,,,,https://places.thebest100hotels.com/en/generic/d2d-auto-detailing-brampton-mobile-service/,Brampton,"15 Wynview St, Brampton, ON L6P 3N6",The website they have is more like a link to a crappy page on a random site
ZenGlow Lighting,Construction,New Website,1-437-260-1661,,,,,,Brampton,"145 Bellchase Trail, Brampton, ON L6P 3N2",
NG Electrical Ltd,Construction,New Website,1-647-710-6379,,,,,,Brampton,"13 Bluffmeadow St, Brampton, ON L6P 3K2",
Reliable Source Plumbing & Drains Ltd,Construction,Website Redesign,1-289-233-7221,,,,,https://reliablesourceplumbing.ca/,Brampton,"89 Daden Oaks Dr, Brampton, ON L6P 3R9",The website isnt mobile friendly the site gets messed up when window is resized
Queen Beauty Salon,Beauty,New Website,1-647-640-5516,,,,,,Brampton,"16 Goswell St, Brampton, ON L6P 3G8",
La Bella Medi Spa,Beauty,Website Redesign,1-416-951-2320,,,,,https://www.labellamedispa.ca/,Brampton,"100 Newington Crescent, Brampton, ON L6P 3E8",The website is practically non existent
Henna Art Hub,Beauty,New Website,1-647-898-8204,,,,,,Brampton,"Gardenbrooke Trail, Brampton, ON L6P 3J7",
Pramesh Nandi’s Swargunjan Music Academy,Education and Music,New Website,1-647-309-3939,,,,,https://www.swargunjan.ca/,Brampton,"15 Picasso Dr, Brampton, ON L6P 3L6",Existing only shows ok and is insecure
