Companies,Type,Priority,Website,Emails,Contact,Contact Date,Status,Notes
Faculty of Engineering & Architectural Science,Keynote Speaker,,,,,,,
Faculty of Science,Keynote Speaker,,,,,,,
Microsoft,Panelist,,,,,,,
IBM,Panelist,,,,,,,
Wealthsimple,Panelist,,,,,,,
AMD,Panelist,,,,,,,
Pfizer,Panelist,,,,,,,
Manulife,Panelist,,,,,,,
Tata Consultancy Services & Enbridge,Panelist,,,,,,,
AWS cloud club,Club,,,,,,,
TMU STEM Fellowship,Club,,,,,,,
TMU AIMLA,Club,,,,,,,
MDSA,Club,,,,,,,
TMU Blueprint,Club,,,,,,,
Nodalli,,,,,,,,
OPG,,,,,,,,
FGF,,,,,,,,
IEEE,Club,,,,,,,
TMU Wics,Club,,,,,,,
Tetra,Club,,,,,,,
Take-off,Club,,,,,,,
TMAV,Club,,,,,,,
ECEC,Club,,,,,,,
IBM Z Sheridan,Club,,,,,,,
2D Electronics & Automation Inc.,,Medium,https://www.2dena.com/,,,,,
360 Visibility,,Low,https://www.360visibility.com/,,,,,
3M,,High,https://www.3mcanada.ca/3M/en_CA/company-ca/,,,,,
A&P Technology,,Low,https://www.braider.com,,,,,
ABB Canada,,High,https://new.abb.com/ca,,,,,
Acklands-Grainger,,Low,https://www.grainger.com,,,,,
Advanced Circuits,,Low,https://www.4pcb.com,,,,,
Air Liquide,,Low,https://www.airliquide.com,,,,,
Airbus Defence and Space,,Medium,https://www.airbus.com/en/defence,,,,,
Aircraft Spruce,,Medium,https://www.aircraftspruce.com,,,,,
Aireon,,High,https://aireon.com/,,,,,
Airtech International,,Medium,https://airtechintl.com,,,,,
ALMAG Aluminum,,Medium,https://almag.com/,,,,,
Almag Aluminum Corp,,Medium,https://almag.com/,,,,,
Altair,,Medium,https://altair.com,,,,,
Altium,,Medium,https://www.altium.com,,,,,
Alumco Inc,,Medium,http://alumco.net/,,,,,
Alumicor Limited,,Low,https://alumicor.com/,,,,,
American Earth Anchors,,N/A,https://americanearthanchors.com/,,,,,
Andgo Systems,,N/A,https://www.andgosystems.com/,,,,,
Ansys,,High,https://www.ansys.com,,,,,
APC Propellers,,N/A,https://www.apcprop.com,,,,,
ARC,,N/A,https://arc-company-usa.com,,,,,
Asana,,Low,https://asana.com,,,,,
Astos Solutions,,High,http://www.astos.de/,,,,,
Automation Direct,,Medium,https://www.automationdirect.com,,,,,
Aversan,,High,https://www.aversan.com,,,,,
Balluff,,Medium,https://www.balluff.com,,,,,
Bandzoogle,,N/A,https://bandzoogle.com/,,,,,
Base 11,,High,https://www.base11.com,,,,,
Belliveau Veinotte,,Low,https://www.bvca.ca/,,,,,
BestBuy Business,,Medium,https://www.bestbuy.ca/en-ca/about/best-buy-business/bltfad9143fefc09dc6,,,,,
BGF Industries,,Medium,https://bgf.com,,,,,
BigRedBee,,Medium,https://shop.bigredbee.com,,,,,
Birchcliff Energy,,Low,https://www.birchcliffenergy.com/,,,,,
